,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,median,null_count,null_pct
ast,2000.0,25.90675,26.873258742758154,0.0,0.0,25.0,40.0,100.0,1.0886164657066788,0.8673676435884379,25.0,2968,59.74235104669887
blk,2000.0,6.050649999999999,16.35792653296037,0.0,0.0,0.0,0.0,200.0,4.201665202304409,23.8077022366665,0.0,2968,59.74235104669887
blka,2000.0,4.73535,14.379023038067107,0.0,0.0,0.0,0.0,200.0,5.052630966459854,35.699730756876804,0.0,2968,59.74235104669887
dreb,2000.0,29.922849999999997,29.129084171148,0.0,0.0,25.0,50.0,200.0,0.9639865355983402,0.6796540847211996,25.0,2968,59.74235104669887
fg3_pct,2000.0,0.2513555,0.34842070922242485,0.0,0.0,0.0,0.5,1.0,1.1109406520325302,-0.12415160945613879,0.0,2968,59.74235104669887
fg_pct,2000.0,0.44784050000000003,0.321901675056145,0.0,0.243,0.5,0.667,1.0,0.1982849891660315,-0.8349155326082873,0.5,2968,59.74235104669887
fga,2000.0,95.5113,38.67198654816934,0.0,80.0,100.0,100.0,400.0,0.5435407479995852,4.570927696724483,100.0,2968,59.74235104669887
fgm,2000.0,42.533300000000004,30.4537042929523,0.0,20.0,44.4,60.0,100.0,0.23304816975638973,-0.6583815694965152,44.4,2968,59.74235104669887
ft_pct,2000.0,0.278633,0.41099822880766956,0.0,0.0,0.0,0.5,1.0,0.9510257533750535,-0.887075237809912,0.0,2968,59.74235104669887
fta,2000.0,20.5394,39.44768177521613,0.0,0.0,0.0,28.6,300.0,2.8969978543754333,10.36356025599115,0.0,2968,59.74235104669887
ftm,2000.0,15.539,32.353880691470366,0.0,0.0,0.0,20.0,300.0,3.5009575734201923,16.61219775901438,0.0,2968,59.74235104669887
gp,4968.0,3.5783011272141705,4.5950915431376895,1.0,1.0,1.0,5.0,63.0,3.646464757595445,21.624108011239453,1.0,0,0.0
l,4968.0,1.7413446054750403,2.2895244594588027,0.0,0.0,1.0,2.0,31.0,3.4010240273590884,20.144480185201367,1.0,0,0.0
min,4968.0,30.845672302737523,26.020912154043902,4.5,6.8,17.0,56.824999999999996,148.0,0.5531021045137874,-1.090363963493056,17.0,0,0.0
opp_pts_fb,2000.0,8.54845,27.160996805552543,0.0,0.0,0.0,0.0,300.0,5.450832203000826,40.43452118864112,0.0,2968,59.74235104669887
opp_pts_off_tov,2000.0,22.39655,52.171326768311,0.0,0.0,0.0,22.2,500.0,3.6357263881932425,16.844081654700798,0.0,2968,59.74235104669887
opp_pts_paint,2000.0,60.0492,63.20054797224464,0.0,0.0,50.0,100.0,400.0,1.4092432037680496,3.1915017210179792,50.0,2968,59.74235104669887
oreb,2000.0,15.38395,27.164110547713946,0.0,0.0,0.0,25.0,300.0,3.322049026136463,18.9060954870593,0.0,2968,59.74235104669887
pf,2000.0,35.7725,39.292301742683875,0.0,0.0,25.0,50.0,300.0,1.8422694728174316,5.103910133153078,25.0,2968,59.74235104669887
pfd,2000.0,20.0545,28.674097225123546,0.0,0.0,10.0,33.3,300.0,2.4035880054772902,9.909721408149458,10.0,2968,59.74235104669887
plus_minus,2000.0,-37.80135,125.08650966682144,-600.0,-100.0,-21.799999999999997,33.3,300.0,-0.7213252795906769,1.7654927074415454,-21.799999999999997,2968,59.74235104669887
pts,2000.0,113.47255,73.83513726705682,0.0,66.7,108.44999999999999,160.0,400.0,0.25349815515224183,-0.1545212896504613,108.44999999999999,2968,59.74235104669887
pts_fb,2000.0,6.932,20.088737259527818,0.0,0.0,0.0,0.0,300.0,4.378953083281598,31.633849476017826,0.0,2968,59.74235104669887
pts_off_tov,2000.0,12.7218,30.92768170276838,0.0,0.0,0.0,0.0,300.0,4.114024153946515,24.830040485245934,0.0,2968,59.74235104669887
pts_paint,2000.0,49.3945,54.26594997245701,0.0,0.0,40.0,80.0,200.0,1.142209762864885,0.8499488187239543,40.0,2968,59.74235104669887
reb,2000.0,45.307,40.56994332200349,0.0,11.1,41.05,66.7,300.0,1.3871902414773103,4.34903064720538,41.05,2968,59.74235104669887
stl,2000.0,4.441,11.231867450393617,0.0,0.0,0.0,0.0,100.0,3.738963370039245,19.441569681898507,0.0,2968,59.74235104669887
team_id,4968.0,1610612752.0038245,8.584741748406989,1610612737.0,1610612745.0,1610612752.0,1610612759.0,1610612766.0,-0.06108383309064599,-1.1950314771938926,1610612752.0,0,0.0
tov,2000.0,11.7944,20.766121316636593,0.0,0.0,0.0,16.7,100.0,2.4195128387168734,6.498733797313569,0.0,2968,59.74235104669887
w,4968.0,1.8369565217391304,2.7660229179977533,0.0,0.0,1.0,2.0,38.0,3.548174287199829,20.95208533811299,1.0,0,0.0
w_pct,4968.0,0.46704730273752015,0.40303123794138423,0.0,0.0,0.5,1.0,1.0,0.09806298107522432,-1.539304438925234,0.5,0,0.0
