lineup_id,frequency,big_men_ratio,ball_handlers_ratio,role_players_ratio,dominance_score,balance_score,supercluster_id
0_1_2_2_2,267683,0.2,0.2,0.6,0.6,0.7777777777777778,0
1_2_2_2_2,113869,0.0,0.2,0.8,0.8,0.2777777777777778,1
2_2_2_2_2,29265,0.0,0.0,1.0,1.0,-0.3888888888888886,1
0_2_2_2_2,68169,0.2,0.0,0.8,0.8,0.2777777777777778,1
0_1_1_2_2,266986,0.2,0.4,0.4,0.4,0.9444444444444444,0
1_1_2_2_2,136168,0.0,0.4,0.6,0.6,0.6111111111111112,0
0_0_1_2_2,77656,0.4,0.2,0.4,0.4,0.9444444444444444,0
0_0_1_1_2,39534,0.4,0.4,0.2,0.4,0.9444444444444444,0
0_0_0_1_1,409,0.6,0.4,0.0,0.6,0.6111111111111112,0
0_0_1_1_1,3025,0.4,0.6,0.0,0.6,0.6111111111111112,0
0_1_1_1_2,73842,0.2,0.6,0.2,0.6,0.7777777777777778,0
0_0_2_2_2,24089,0.4,0.0,0.6,0.6,0.6111111111111112,0
1_1_1_2_2,37872,0.0,0.6,0.4,0.6,0.6111111111111112,0
1_1_1_1_2,2648,0.0,0.8,0.2,0.8,0.2777777777777778,0
0_0_0_1_2,2090,0.6,0.2,0.2,0.6,0.7777777777777778,0
0_0_0_2_2,2575,0.6,0.0,0.4,0.6,0.6111111111111112,0
0_1_1_1_1,2834,0.2,0.8,0.0,0.8,0.2777777777777778,0
